timestamp,Q
2026-02-09,176.43
2026-02-10,155.20
2026-02-11,203.19
2026-02-12,548.22
2026-02-13,948.08
2026-02-14,914.22
2026-02-15,743.59
2026-02-16,667.55
2026-02-17,864.17
2026-02-18,812.67
2026-02-19,777.28
2026-02-20,819.98
2026-02-21,793.90
2026-02-22,907.87
2026-02-23,1218.96
2026-02-24,1184.42
2026-02-25,1079.56
2026-02-26,957.39
2026-02-27,827.84
2026-02-28,737.66
2026-03-01,634.95
2026-03-02,528.79
2026-03-03,460.59
2026-03-04,402.93
2026-03-05,338.73
2026-03-06,306.26
2026-03-07,283.46
2026-03-08,268.76
2026-03-09,252.94
2026-03-10,223.13
2026-03-11,243.41
2026-03-12,282.83
2026-03-13,273.73
2026-03-14,450.50
2026-03-15,601.98
