timestamp,Q
2026-02-14,914.22
2026-02-15,743.59
2026-02-16,667.55
2026-02-17,864.17
2026-02-18,812.67
2026-02-19,777.28
2026-02-20,819.98
2026-02-21,793.90
2026-02-22,907.87
2026-02-23,1218.96
2026-02-24,1184.42
2026-02-25,1079.56
2026-02-26,979.97
2026-02-27,829.40
2026-02-28,727.69
2026-03-01,641.04
2026-03-02,522.79
2026-03-03,423.51
2026-03-04,388.10
2026-03-05,330.12
2026-03-06,306.06
2026-03-07,276.24
2026-03-08,277.94
2026-03-09,233.67
2026-03-10,211.62
2026-03-11,209.23
2026-03-12,241.37
2026-03-13,237.00
2026-03-14,406.51
2026-03-15,603.79
2026-03-16,520.33
2026-03-17,437.74
2026-03-18,416.72
