timestamp,Q
2023-01-01,3146.81
2023-01-02,3096.30
2023-01-03,3071.10
2023-01-04,2922.31
2023-01-05,2717.88
2023-01-06,2592.90
2023-01-07,2544.65
2023-01-08,2495.17
2023-01-09,2456.29
2023-01-10,2503.71
2023-01-11,2662.49
2023-01-12,2975.94
2023-01-13,3530.03
2023-01-14,4104.38
2023-01-15,4370.13
2023-01-16,4510.17
2023-01-17,4867.28
2023-01-18,5049.46
2023-01-19,5023.86
2023-01-20,4623.72
2023-01-21,4019.56
2023-01-22,3479.46
2023-01-23,3089.25
2023-01-24,2763.28
2023-01-25,2482.20
2023-01-26,2311.28
2023-01-27,2217.34
2023-01-28,2138.68
2023-01-29,2057.74
2023-01-30,1988.33
2023-01-31,1911.08
2023-02-01,1852.58
2023-02-02,1845.72
2023-02-03,1995.05
2023-02-04,2172.40
2023-02-05,2267.52
2023-02-06,2347.89
2023-02-07,2392.22
2023-02-08,2375.25
2023-02-09,2309.15
2023-02-10,2174.81
2023-02-11,2015.87
2023-02-12,1868.46
2023-02-13,1764.12
2023-02-14,1685.12
2023-02-15,1620.65
2023-02-16,1567.10
2023-02-17,1518.11
2023-02-18,1484.51
2023-02-19,1464.72
2023-02-20,1491.75
2023-02-21,1524.93
2023-02-22,1539.02
2023-02-23,1529.16
2023-02-24,1525.74
2023-02-25,1514.53
2023-02-26,1496.79
2023-02-27,1473.46
2023-02-28,1444.91
2023-03-01,1421.22
2023-03-02,1400.05
2023-03-03,1360.78
2023-03-04,1316.95
2023-03-05,1287.40
2023-03-06,1259.97
2023-03-07,1259.92
2023-03-08,1293.95
2023-03-09,1334.50
2023-03-10,1471.67
2023-03-11,2264.75
2023-03-12,2960.26
2023-03-13,3176.70
2023-03-14,3115.83
2023-03-15,2989.38
2023-03-16,3101.11
2023-03-17,3418.74
2023-03-18,3531.87
2023-03-19,3352.81
2023-03-20,3056.47
2023-03-21,2804.58
2023-03-22,2586.64
2023-03-23,2441.07
2023-03-24,2361.67
2023-03-25,2300.62
2023-03-26,2268.72
2023-03-27,2434.29
2023-03-28,2667.07
2023-03-29,2847.52
2023-03-30,2906.88
2023-03-31,2843.58
2023-04-01,2837.77
2023-04-02,3177.04
2023-04-03,3693.05
2023-04-04,4069.45
2023-04-05,4170.42
2023-04-06,3967.90
2023-04-07,3605.57
2023-04-08,3315.64
2023-04-09,3036.70
2023-04-10,2788.54
2023-04-11,2619.40
2023-04-12,2479.34
2023-04-13,2379.27
2023-04-14,2360.59
2023-04-15,2461.83
2023-04-16,2468.41
2023-04-17,2423.40
2023-04-18,2357.91
2023-04-19,2337.50
2023-04-20,2456.04
2023-04-21,2533.13
2023-04-22,2470.82
2023-04-23,2358.25
2023-04-24,2306.68
2023-04-25,2277.36
2023-04-26,2207.55
2023-04-27,2167.09
2023-04-28,2145.80
2023-04-29,2151.08
2023-04-30,2167.09
2023-05-01,2270.77
2023-05-02,2420.60
2023-05-03,2483.24
2023-05-04,2423.94
2023-05-05,2391.28
2023-05-06,2421.57
2023-05-07,2362.98
2023-05-08,2279.54
2023-05-09,2279.44
2023-05-10,2359.69
2023-05-11,2612.86
2023-05-12,2957.04
2023-05-13,3137.31
2023-05-14,3222.59
2023-05-15,3243.53
2023-05-16,3143.21
2023-05-17,2986.56
2023-05-18,2825.01
2023-05-19,2715.33
2023-05-20,2656.32
2023-05-21,2662.17
2023-05-22,2629.06
2023-05-23,2512.46
2023-05-24,2374.83
2023-05-25,2297.39
2023-05-26,2216.50
2023-05-27,2113.88
2023-05-28,2035.15
2023-05-29,1958.70
2023-05-30,1907.84
2023-05-31,1855.05
2023-06-01,1791.83
2023-06-02,1740.82
2023-06-03,1686.96
2023-06-04,1629.53
2023-06-05,1598.93
2023-06-06,1582.63
2023-06-07,1566.96
2023-06-08,1543.66
2023-06-09,1525.53
2023-06-10,1498.17
2023-06-11,1477.94
