timestamp,Q
2025-01-01,452.15
2025-01-02,562.43
2025-01-03,662.48
2025-01-04,566.15
2025-01-05,640.70
2025-01-06,1262.00
2025-01-07,1328.64
2025-01-08,1184.78
2025-01-09,1503.70
2025-01-10,1890.52
2025-01-11,1482.52
2025-01-12,1178.71
2025-01-13,985.84
2025-01-14,858.54
2025-01-15,744.64
2025-01-16,697.69
2025-01-17,646.72
2025-01-18,600.21
2025-01-19,541.36
2025-01-20,474.57
2025-01-21,407.45
2025-01-22,384.91
2025-01-23,547.67
2025-01-24,554.88
2025-01-25,745.07
2025-01-26,1093.34
2025-01-27,1108.98
2025-01-28,1045.73
2025-01-29,1007.70
2025-01-30,1037.50
2025-01-31,1053.21
2025-02-01,890.36
2025-02-02,734.89
2025-02-03,632.31
2025-02-04,531.12
2025-02-05,479.30
2025-02-06,427.68
2025-02-07,400.44
2025-02-08,371.83
2025-02-09,374.17
2025-02-10,357.34
2025-02-11,426.29
2025-02-12,382.02
2025-02-13,381.47
2025-02-14,334.32
2025-02-15,340.06
2025-02-16,321.06
2025-02-17,322.49
2025-02-18,309.13
2025-02-19,273.88
2025-02-20,268.08
2025-02-21,257.65
2025-02-22,246.23
2025-02-23,249.42
2025-02-24,245.94
2025-02-25,226.47
2025-02-26,316.22
2025-02-27,355.49
2025-02-28,361.05
2025-03-01,342.99
2025-03-02,333.13
2025-03-03,323.75
2025-03-04,290.78
2025-03-05,265.78
2025-03-06,257.03
2025-03-07,233.40
2025-03-08,217.90
2025-03-09,235.16
2025-03-10,222.37
2025-03-11,205.64
2025-03-12,212.88
2025-03-13,209.19
2025-03-14,187.09
2025-03-15,188.27
2025-03-16,186.82
2025-03-17,188.09
2025-03-18,197.38
2025-03-19,184.77
2025-03-20,175.95
2025-03-21,170.52
2025-03-22,157.00
2025-03-23,165.03
2025-03-24,149.28
2025-03-25,146.96
2025-03-26,146.29
2025-03-27,142.48
2025-03-28,129.94
2025-03-29,143.51
2025-03-30,137.19
2025-03-31,148.09
2025-04-01,130.10
2025-04-02,113.01
2025-04-03,115.54
2025-04-04,109.31
2025-04-05,116.30
2025-04-06,106.42
2025-04-07,96.26
2025-04-08,101.07
2025-04-09,98.61
2025-04-10,96.35
2025-04-11,95.34
2025-04-12,99.61
2025-04-13,111.74
2025-04-14,104.57
2025-04-15,100.93
2025-04-16,100.85
2025-04-17,117.51
2025-04-18,159.24
2025-04-19,125.15
2025-04-20,146.55
2025-04-21,121.31
2025-04-22,123.67
2025-04-23,103.91
2025-04-24,129.26
2025-04-25,259.13
2025-04-26,133.02
2025-04-27,128.92
2025-04-28,121.20
2025-04-29,106.60
2025-04-30,93.73
2025-05-01,101.22
2025-05-02,101.10
2025-05-03,101.97
2025-05-04,98.07
2025-05-05,98.50
2025-05-06,96.52
2025-05-07,77.18
2025-05-08,77.10
2025-05-09,78.00
2025-05-10,69.25
2025-05-11,94.79
2025-05-12,53.73
2025-05-13,92.52
2025-05-14,62.73
2025-05-15,71.10
2025-05-16,65.25
2025-05-17,59.81
2025-05-18,64.80
2025-05-19,66.46
2025-05-20,61.31
2025-05-21,65.44
2025-05-22,59.58
2025-05-23,56.89
2025-05-24,55.03
2025-05-25,80.11
2025-05-26,78.38
2025-05-27,65.51
2025-05-28,139.65
2025-05-29,91.76
2025-05-30,90.41
2025-05-31,73.80
2025-06-01,70.60
2025-06-02,78.51
2025-06-03,71.54
2025-06-04,
2025-06-05,
2025-06-06,
2025-06-07,
2025-06-08,
2025-06-09,
2025-06-10,
2025-06-11,
2025-06-12,
2025-06-13,
2025-06-14,
2025-06-15,
2025-06-16,
2025-06-17,
2025-06-18,
2025-06-19,
2025-06-20,
2025-06-21,
2025-06-22,
2025-06-23,
2025-06-24,
2025-06-25,
2025-06-26,
2025-06-27,
2025-06-28,
2025-06-29,
2025-06-30,
2025-07-01,
2025-07-02,
2025-07-03,
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,
2025-07-08,
2025-07-09,
2025-07-10,
2025-07-11,
2025-07-12,
2025-07-13,
2025-07-14,
2025-07-15,
2025-07-16,
2025-07-17,
2025-07-18,
2025-07-19,
2025-07-20,
2025-07-21,
2025-07-22,
2025-07-23,
2025-07-24,
2025-07-25,
2025-07-26,
2025-07-27,
2025-07-28,
2025-07-29,
2025-07-30,
2025-07-31,
2025-08-01,
2025-08-02,
2025-08-03,
2025-08-04,
2025-08-05,
2025-08-06,
2025-08-07,
2025-08-08,
2025-08-09,
2025-08-10,
2025-08-11,
2025-08-12,
2025-08-13,
2025-08-14,
2025-08-15,
2025-08-16,
2025-08-17,
2025-08-18,
2025-08-19,
2025-08-20,
2025-08-21,
2025-08-22,
2025-08-23,
2025-08-24,
2025-08-25,
2025-08-26,
2025-08-27,
2025-08-28,
2025-08-29,
2025-08-30,
2025-08-31,
2025-09-01,
2025-09-02,
2025-09-03,
2025-09-04,
2025-09-05,
2025-09-06,
2025-09-07,
2025-09-08,
2025-09-09,147.70
2025-09-10,64.37
2025-09-11,85.87
2025-09-12,65.03
2025-09-13,55.03
2025-09-14,82.39
2025-09-15,98.25
2025-09-16,75.00
2025-09-17,65.37
2025-09-18,59.82
2025-09-19,51.31
2025-09-20,46.40
2025-09-21,51.39
